SR Code,Program,Year Level,Section,Where are you staying this first semester AY 2020-2021?,Device/s that will be used during online classes (Check all that applies),Final Exam Part 1,Final Exam Part 2,Midterm Exam Part 1,Midterm Exam Part 2,Midterm Exam Part 3,Long Quiz 1,Homework 1,Homework 2,Individual Recitation 1,Individual Recitation 2,Final Grade,Remarks
20-08091,BS MEXE,Third Year,MEXE-3104,at home,Smart Phones / Android Phones,18,12,28,8,12,19,30,10,35,34,84,PASS
20-05707,BS MEXE,Third Year,MEXE-3104,at a boarding house,Laptop /Personal Computer,10,6,28,12,17,19,30,19,35,31,82,PASS
20-03471,BS MEXE,Third Year,MEXE-3104,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",12,12,26,0,0,18,30,14,12,31,74,REM
20-04034,BS MEXE,Third Year,MEXE-3104,at home,Smart Phones / Android Phones,24,8,30,0,7.8,19,30,23,27,26,77,PASS
20-00270,BS MEXE,Third Year,MEXE-3104,at a boarding house,Smart Phones / Android Phones,7,6,27,0,14.3,20,,13,31,33,67,FAIL
20-03336,BS MEXE,Third Year,MEXE-3104,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",21,14,29,8,13.5,16,30,13,35,35,86,PASS
20-08221,BS MEXE,Third Year,MEXE-3104,at home,Laptop /Personal Computer,9,10,30,4,5.5,16,30,10,35,32,79,PASS
20-00239,BS MEXE,Third Year,MEXE-3104,at home,Smart Phones / Android Phones,19,10,26,8,6.8,17,30,11,30,27,79,PASS
20-03777,BS MEXE,Third Year,MEXE-3104,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",16,11,21,4,6,14,30,9,35,35,80,PASS
20-62884,BS MEXE,Third Year,MEXE-3104,at home,Laptop /Personal Computer,15,9,18,0,14.8,18,30,15,27,31,77,PASS
20-02589,BS MEXE,Third Year,MEXE-3104,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",10,13,29,0,13.3,17,30,19,33,19,78,PASS
20-01302,BS MEXE,Third Year,MEXE-3104,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",9,12,21,4,11.3,17,30,9,35,35,80,PASS
20-05854,BS MEXE,Third Year,MEXE-3104,at home,Laptop /Personal Computer,14,12,32,0,12.3,19,30,23,35,29,82,PASS
20-61458,BS MEXE,Third Year,MEXE-3104,at home,Smart Phones / Android Phones,19,10,21,4,14,21,30,15,35,29,81,PASS
20-00393,BS MEXE,Third Year,MEXE-3104,at home,Smart Phones / Android Phones,10,9,23,0,16.3,38,30,39,35,33,83,PASS
20-09841,BS MEXE,Third Year,MEXE-3104,at home,Laptop /Personal Computer,27,12,30,0,16.3,38,30,11,33,31,85,PASS
20-01909,BS MEXE,Third Year,MEXE-3104,at a boarding house,Smart Phones / Android Phones,0,5,23,4,10.5,17,15,8,35,31,72,REM
20-07162,BS MEXE,Third Year,MEXE-3104,at a boarding house,Smart Phones / Android Phones,31,9,14,0,12,20,30,23,31,32,81,PASS
20-09339,BS MEXE,Third Year,MEXE-3104,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",11,13,22,12,13.8,21,30,19,35,35,85,PASS
20-01809,BS MEXE,Third Year,MEXE-3104,at home,Smart Phones / Android Phones,17,9,21,4,12,21,30,39,35,35,82,PASS
20-07366,BS MEXE,Third Year,MEXE-3104,at home,Smart Phones / Android Phones,13,12,27,4,0.8,17,30,10,35,35,80,PASS
20-09540,BS MEXE,Third Year,MEXE-3104,at home,Smart Phones / Android Phones,34,9,20,4,12,20,30,26,28,35,83,PASS
20-03747,BS MEXE,Third Year,MEXE-3104,at a boarding house,Smart Phones / Android Phones,11,3,25,0,0,17,30,19,31,35,74,REM
20-01926,BS MEXE,Third Year,MEXE-3104,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",11,10,19,0,12.5,17,30,10,35,22,76,PASS
20-06408,BS MEXE,Third Year,MEXE-3104,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",21,4,24,0,3.8,5,30,10,35,35,76,PASS
20-07924,BS MEXE,Third Year,MEXE-3104,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",16,9,19,12,13.5,17,30,9,33,31,81,PASS
20-07553,BS MEXE,Third Year,MEXE-3104,at home,Smart Phones / Android Phones,32,12,18,8,12,20,30,11,34,35,85,PASS
20-00989,BS MEXE,Third Year,MEXE-3104,at a boarding house,Laptop /Personal Computer,13,7,20,0,2.3,17,24,19,21,30,71,REM
20-09791,BS MEXE,Third Year,MEXE-3104,at home,Smart Phones / Android Phones,10,14,30,4,11.5,19,30,19,31,33,82,PASS
20-06344,BS MEXE,Third Year,MEXE-3104,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",22,9,21,8,11.5,19,30,15,32,35,81,PASS
20-00152,BS MEXE,Third Year,MEXE-3104,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",12,11,21,0,8.3,17,30,9,35,35,79,PASS
20-02433,BS MEXE,Third Year,MEXE-3104,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",9,7,19,8,19,21,30,39,35,35,83,PASS
20-09015,BS MEXE,Third Year,MEXE-3104,at home,Smart Phones / Android Phones,20,9,19,0,0,18,30,39,34,35,79,PASS
20-00551,BS MEXE,Third Year,MEXE-3104,at home,Smart Phones / Android Phones,28,8,20,4,13.3,20,30,23,35,34,83,PASS
