SR Code,Program,Year Level,Section,Where are you staying this first semester AY 2020-2021?,Device/s that will be used during online classes (Check all that applies),Final Exam Part 1,Final Exam Part 2,Midterm Exam Part 1,Midterm Exam Part 2,Midterm Exam Part 3,Long Quiz 1,Homework 1,Homework 2,Individual Recitation 1,Individual Recitation 2,Final Grade,Remarks
19-05399,BS MEXE,Fourth Year,MEXE-3106,at a relative's home,"Laptop /Personal Computer, Smart Phones / Android Phones",18,12,22,4,14.5,40,30,6,29,24,80,PASS
19-08498,BS MEXE,Fourth Year,MEXE-3106,at a boarding house,Smart Phones / Android Phones,7,8,12,0,5.3,37,30,43,23,33,76,PASS
19-03687,BS MEXE,Third Year,MEXE-3106,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",22,13,22,0,14.5,20,30,54,33,23,84,PASS
19-07921,BS MEXE,Third Year,MEXE-3106,at a boarding house,Smart Phones / Android Phones,28,11,17,0,1.5,16,30,60,34,30,83,PASS
19-09858,BS MEXE,Fourth Year,MEXE-3106,at home,Smart Phones / Android Phones,0,9,12,0,0,27,,40,32,23,63,FAIL
19-01744,BS MEXE,Third Year,MEXE-3106,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",25,11,19,0,3,38,,58,25,29,72,REM
19-02465,BS MEXE,Third Year,MEXE-3106,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",28,13,25,0,12.3,29,30,58,35,35,89,PASS
19-05768,BS MEXE,Third Year,MEXE-3106,at home,Smart Phones / Android Phones,22,9,31,4,16,39,30,55,35,35,89,PASS
19-01640,BS MEXE,Fourth Year,MEXE 3106,at a boarding house,Smart Phones / Android Phones,28,13,28,0,4.5,29,30,53,30,9,81,PASS
19-00137,BS MEXE,Third Year,MEXE-3106,at home,Smart Phones / Android Phones,1,4,19,0,5.3,34,30,43,32,27,75,PASS
19-00776,BS MEXE,Third Year,MEXE-3106,at home,Smart Phones / Android Phones,26,12,23,8,12,38,30,55,28,16,84,PASS
19-01015,BS MEXE,Fourth Year,MEXE-3106,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",19,12,25,8,17,40,18,54,34,30,86,PASS
19-01297,BS MEXE,Fourth Year,MEXE-3106,at a relative's home,Laptop /Personal Computer,28,7,30,0,6.8,36,30,6,35,34,81,PASS
19-03111,BS MEXE,Fourth Year,MEXE-3106,at home,Smart Phones / Android Phones,12,8,11,4,10.5,27,30,60,25,26,78,PASS
19-02706,BS MEXE,Fourth Year,MEXE-3106,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",28,12,23,4,4.5,38,30,6,24,35,81,PASS
19-07759,BS MEXE,Fourth Year,MEXE-3106,at home,Smart Phones / Android Phones,28,13,29,4,11.3,30,30,50,26,34,87,PASS
19-00310,BS MEXE,Fourth Year,MEXE-3106,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",16,8,21,4,12.5,36,27,54,33,25,81,PASS
19-06689,BS MEXE,Fourth Year,MEXE-3106,at home,Smart Phones / Android Phones,28,13,30,0,13.5,20,30,54,34,35,89,PASS
