SR Code,Program,Year Level,Section,Where are you staying this first semester AY 2020-2021?,Device/s that will be used during online classes (Check all that applies),Final Exam Part 1,Final Exam Part 2,Midterm Exam Part 1,Midterm Exam Part 2,Midterm Exam Part 3,Long Quiz 1,Homework 1,Homework 2,Individual Recitation 1,Individual Recitation 2,Final Grade,Remarks
20-04517,BS MEXE,Third Year,3101,at a boarding house,Smart Phones / Android Phones,12,12,24,0,12.8,21,30,54,34,30,83,PASS
20-05419,BS MEXE,Third Year,3102,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",9,3,21,0,15.8,37,27,32,33,23,76,PASS
20-04172,BS MEXE,Third Year,3101,at home,Smart Phones / Android Phones,9,8,23,0,3.8,2,27,24,34,34,75,PASS
20-67706,BS MEXE,Third Year,3101,at home,Smart Phones / Android Phones,22,13,27,0,14.8,38,30,36,29,30,85,PASS
20-04110,BS MEXE,Third Year,3101,at home,Smart Phones / Android Phones,36,14,32,8,18,39,20,54,32,35,93,PASS
20-06974,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones, Basic mobile phone",11,11,23,0,9.8,13,30,24,32,28,78,PASS
20-05144,BS MEXE,Third Year,3101,at home,Smart Phones / Android Phones,18,3,28,0,5.3,25,30,54,31,26,78,PASS
20-07273,BS MEXE,Third Year,3101,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",28,6,27,0,15,29,30,54,35,35,86,PASS
20-60237,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",6,9,22,0,6.5,2,30,36,25,31,75,PASS
20-07623,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",24,4,20,8,14.3,1,30,21,35,22,78,PASS
20-09274,BS MEXE,Third Year,3101,at home,Laptop /Personal Computer,17,13,28,0,13.5,28,30,36,31,30,83,PASS
20-05039,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",11,12,29,0,9.8,37,30,32,30,27,81,PASS
20-00622,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",3,8,33.1,4,0,8,30,40,26,18,73,REM
20-07540,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",21,9,27,4,12.8,28,30,21,23,35,80,PASS
20-01464,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",20,9,31,4,17,20,30,40,31,32,84,PASS
20-03975 ,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",9,1,23,0,12.5,13,30,34,33,29,75,PASS
20-03833,BS MEXE,Third Year,3101,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",36,13,31,0,19.3,36,30,54,35,35,93,PASS
